1801aac20	1801c5280	1801f77c0	.?AV?$time_get@DV?$istreambuf_iterator@DU?$char_traits@D@std@@@std@@@std@@
1801aac78	1801c5318	1801f7820	.?AV?$time_put@DV?$ostreambuf_iterator@DU?$char_traits@D@std@@@std@@@std@@
1801aae78	1801aaed0	1801f4f20	.?AVCRippleEffect@@
1801ab088	1801ab0d0	1801f4f50	.?AUCImgInstanceException@cimg_library@@
1801ab178	1801ab190	1801f4f90	.?AUCImgException@cimg_library@@
1801ab9a8	1801ab9d0	1801f5060	.?AUCImgArgumentException@cimg_library@@
1801abdf8	1801abe20	1801f5130	.?AUCImgIOException@cimg_library@@
1801abfb8	1801ac010	1801f5170	.?AVCAmbienceEffect@@
1801ac1a8	1801ac270	1801f51a0	.?AVCAudioVUEffect@@
1801ac200	1801ac470	1801f51a0	.?AVCAudioVUEffect@@
1801ac218	1801ac490	1801f51a0	.?AVCAudioVUEffect@@
1801ac4b0	1801ac510	1801f51d0	.?AVCMmEndpointEx@@
1801ac4c8	1801ac530	1801f51d0	.?AVCMmEndpointEx@@
1801ac5a8	1801ac600	1801f5260	.?AVCStarlightEffect@@
1801ac698	1801ac6f0	1801f5290	.?AVCSpectrumEffect@@
1801ac758	1801ac7b0	1801f5420	.?AVCFireEffect@@
1801ac828	1801ac880	1801f5450	.?AVCReactiveEffect@@
1801ac928	1801ac980	1801f5480	.?AVCBreathingEffect@@
1801aca28	1801aca80	1801f54b0	.?AVCWaveEffect@@
1801acb18	1801acb70	1801f54e0	.?AVCColorWheelEffect@@
1801acc48	1801acca0	1801f5510	.?AVCTidalEffect@@
1801acd08	1801acd60	1801f5540	.?AVCStaticEffect@@
1801acdc8	1801ace20	1801f5570	.?AVCDestiny2Effect@@
1801ace98	1801acef0	1801f4ed0	.?AVCEffect@@
1801acf18	1801acf70	1801f55a0	.?AVCRadiateEffect@@
1801ad208	1801ad610	1801f55d0	.?AVCScreenCapture@@
1801ad238	1801ad660	1801f5600	.?AVCScreenCapture_Duplicate@@
1801ad4f8	1801ad6c0	1801f5630	.?AVCScreenCapture_DX@@
1801ad5a8	1801ad720	1801f5660	.?AVCScreenCapture_GDI@@
1801ad7e8	1801ad7f0	1801f5690	.?AV?$CComPtrCustom@UID3D11DeviceContext@@@@
1801ad848	1801ad850	1801f56d0	.?AV?$CComPtrCustom@UIDXGIOutputDuplication@@@@
1801ad8a8	1801ad8b0	1801f5710	.?AV?$CComPtrCustom@UID3D11Texture2D@@@@
1801ad908	1801ad910	1801f5750	.?AV?$CComPtrCustom@UID3D11Device@@@@
1801ad968	1801ad970	1801f5790	.?AV?$CComPtrCustom@UIDXGIDevice@@@@
1801ad9c8	1801ad9d0	1801f57d0	.?AV?$CComPtrCustom@UIDXGIAdapter@@@@
1801ada28	1801ada30	1801f5810	.?AV?$CComPtrCustom@UIDXGIOutput@@@@
1801ada88	1801ada90	1801f5850	.?AV?$CComPtrCustom@UIDXGIOutput1@@@@
1801adae8	1801adaf0	1801f5890	.?AV?$CComPtrCustom@UIDXGIResource@@@@
1801adca8	1801adcb0	1801f58d0	.?AV?$CComPtrCustom@UIDirect3D9@@@@
1801add08	1801add10	1801f5910	.?AV?$CComPtrCustom@UIDirect3DDevice9@@@@
1801add68	1801add70	1801f5950	.?AV?$CComPtrCustom@UIDirect3DSurface9@@@@
1801ade28	1801adf30	1801f5200	.?AVCMmEndpoint@@
1801afc98	1801afc90	UNRESOLVED	Unable to read bytes at ram:0073747f
